Keyword Stats 2026-06-18 at 20_22_19
1. Juni 2025 - 31. Mai 2026
Keyword	Currency	Avg. monthly searches	Änderung über drei Monate	Änderung im Jahresvergleich	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026
kfw photovoltaik	EUR	500	0%	0%	Hoch	69	"0,40"	"4,77"																	
kfw förderung pv anlage	EUR	5000	0%	0%	Hoch	75	"0,43"	"4,01"																	
solaranlage mit speicher förderung	EUR	500	0%	0%	Hoch	94	"1,54"	"5,19"																	
stromspeicher 5 kwh preis	EUR	5000	0%	0%	Hoch	100	"0,23"	"1,55"																	
solaranlage kosten förderung	EUR	500	0%	0%	Hoch	79	"1,22"	"3,84"																	
kosten solaranlage mit speicher einfamilienhaus	EUR	500	0%	0%	Hoch	92	"1,34"	"3,74"																	
photovoltaik anlage kosten	EUR	5000	0%	0%	Hoch	85	"1,60"	"4,83"																	
solar terrassendach preise	EUR	500	0%	0%	Hoch	100	"0,70"	"1,83"																	
solarziegel kosten	EUR	500	-90%	0%	Hoch	100	"0,45"	"1,95"																	
förderung balkonkraftwerk	EUR	5000	0%	0%	Hoch	77	"0,33"	"2,55"																	
photovoltaik kosten rechner	EUR	50	0%	-90%	Hoch	77	"2,18"	"6,19"																	
photovoltaikanlage 5 kwp kosten	EUR	500	-90%	-90%	Hoch	93	"1,31"	"3,30"																	
lohnt sich eine solaranlage	EUR	500	0%	0%	Hoch	72	"1,19"	"4,15"																	
kfw förderung photovoltaik 2023	EUR	50	0%	0%	Niedrig	11																			
solar förderung	EUR	5000	0%	0%	Hoch	76	"1,50"	"4,37"																	
photovoltaik preise	EUR	500	0%	0%	Hoch	100	"1,30"	"3,25"																	
solardachziegel kosten	EUR	500	-90%	0%	Hoch	100	"0,53"	"1,91"																	
photovoltaik 20 qm kosten	EUR	50	0%	0%	Hoch	93	"1,24"	"2,66"																	
wieviel photovoltaik brauche ich für ein einfamilienhaus	EUR	50	0%	0%	Hoch	86	"1,28"	"3,72"																	
photovoltaikanlage mit speicher kosten	EUR	5000	-90%	0%	Hoch	94	"1,81"	"5,66"																	
lohnt sich eine pv anlage	EUR	500	0%	0%	Hoch	79	"1,36"	"4,80"																	
photovoltaik kosten pro m2	EUR	500	0%	0%	Hoch	98	"1,20"	"3,68"																	
photovoltaikanlage komplettpaket preis	EUR	50	900%	900%	Hoch	99	"1,13"	"3,23"																	
stromspeicher 10 kwh preis	EUR	5000	0%	0%	Hoch	100	"0,42"	"1,94"																	
pv anlage kosten pro kwp	EUR	500	0%	0%	Hoch	74	"1,49"	"3,66"																	
pv förderung	EUR	5000	0%	0%	Hoch	69	"1,05"	"2,89"																	
solarförderung 2023	EUR	50	0%	0%	Niedrig	29																			
solaranlagen preise	EUR	500	0%	0%	Hoch	100	"1,42"	"4,18"																	
förderung für solaranlagen	EUR	5000	0%	0%	Hoch	80	"1,70"	"5,33"																	
solar warmwasser	EUR	5000	0%	0%	Hoch	100	"0,51"	"2,16"																	
förderung für photovoltaik	EUR	5000	0%	0%	Hoch	78	"1,61"	"4,29"																	
pv anlage finanzierung	EUR	500	0%	0%	Hoch	83	"3,57"	"12,05"																	
5 kwp pv anlage	EUR	500	-90%	0%	Hoch	100	"1,37"	"4,05"																	
photovoltaik komplettanlage 10 kwp mit speicher förderung	EUR	50	0%	0%	Hoch	74	"2,63"	"6,08"																	
fördermittel photovoltaik	EUR	50	-90%	-90%	Hoch	73	"1,28"	"4,02"																	
enpal kosten pro monat	EUR	500	0%	0%	Hoch	68	"1,30"	"5,26"																	
enpal solaranlage kosten	EUR	500	0%	0%	Hoch	71	"2,37"	"9,14"																	
solardach kosten	EUR	500	0%	0%	Hoch	83	"1,91"	"6,63"																	
solarspeicher kosten	EUR	500	0%	0%	Hoch	100	"0,85"	"2,47"																	
solarplatten kosten	EUR	500	0%	0%	Hoch	100	"1,17"	"3,14"																	
photovoltaik speicher kosten	EUR	5000	0%	0%	Hoch	100	"1,28"	"4,70"																	
kfw solarförderung	EUR	500	0%	0%	Hoch	75	"0,46"	"4,78"																	
lohnt sich eine photovoltaikanlage	EUR	500	0%	0%	Hoch	78	"1,24"	"4,40"																	
förderung photovoltaik 2022	EUR	50	0%	0%	Niedrig	0																			
solaranlage kaufen preis	EUR	50	0%	0%	Hoch	85	"1,89"	"6,47"																	
förderung solar	EUR	5000	0%	0%	Hoch	76	"1,50"	"4,37"																	
kfw förderung solar	EUR	500	0%	0%	Hoch	75	"0,87"	"4,59"																	
kfw 270	EUR	5000	0%	0%	Mittel	49	"1,06"	"5,61"																	
lohnt sich solaranlage	EUR	500	0%	0%	Hoch	72	"1,19"	"4,15"																	
kosten pv anlage 10 kwp	EUR	500	0%	0%	Hoch	100	"1,33"	"4,04"																	
kosten photovoltaik 2023	EUR	50	0%	0%	Unbekannt																				
einspeisevergütung 2022	EUR	500	0%	0%	Niedrig	3	"0,09"	"0,90"																	
photovoltaik angebote komplettanlagen	EUR	500	0%	0%	Hoch	100	"1,76"	"5,21"																	
kwp in kwh	EUR	500	-90%	0%	Mittel	41	"0,18"	"1,85"																	
solarförderung	EUR	5000	-90%	0%	Hoch	72	"1,20"	"3,25"																	
solar für warmwasser	EUR	500	0%	0%	Hoch	100	"0,55"	"2,50"																	
solaranlage kosten pro qm	EUR	50	-90%	0%	Hoch	77	"1,41"	"3,03"																	
solaranlage kosten mit speicher	EUR	500	0%	0%	Hoch	96	"2,14"	"6,09"																	
kosten photovoltaik pro kwp	EUR	500	-90%	-90%	Hoch	86	"1,38"	"2,90"																	
pv anlage mit speicher förderung	EUR	500	0%	0%	Hoch	82	"1,43"	"5,53"																	
pv einspeisevergütung 2023	EUR	50	0%	0%	Niedrig	6	"0,44"	"2,27"																	
pv anlage 5 kwp mit montage kosten	EUR	50	0%	0%	Hoch	69	"2,60"	"4,15"																	
pv anlage 10 kwp kosten	EUR	500	-90%	-90%	Hoch	99	"1,95"	"5,17"																	
förderprogramm photovoltaik	EUR	500	0%	0%	Mittel	66	"1,25"	"3,51"																	
preis solaranlage	EUR	500	0%	0%	Hoch	100	"1,42"	"4,18"																	
kfw darlehen photovoltaik	EUR	50	-90%	0%	Hoch	77	"0,49"	"3,22"																	
solaranlage für warmwasser	EUR	500	0%	0%	Hoch	100	"0,66"	"2,48"																	
photovoltaik förderung 2022	EUR	50	0%	0%	Niedrig	0																			
ab wann lohnt sich photovoltaik mit speicher	EUR	500	-90%	0%	Hoch	70	"0,98"	"2,90"																	
photovoltaik kredit rechner	EUR	50	0%	0%	Hoch	83	"0,97"	"3,79"																	
photovoltaik firmen in der nähe	EUR	500	0%	0%	Hoch	67	"2,15"	"8,97"																	
photovoltaik kredit kfw	EUR	500	0%	0%	Hoch	78	"0,60"	"4,71"																	
kosten solaranlage pro m2	EUR	50	0%	-90%	Hoch	82	"1,47"	"2,92"																	
kosten wärmepumpe mit photovoltaik	EUR	500	0%	0%	Hoch	73	"2,09"	"8,59"																	
enpal solar kosten	EUR	50	0%	0%	Hoch	80	"1,84"	"7,34"																	
pv anlage förderung 2023	EUR	50	0%	0%	Niedrig	11																			
pv anlage 7 kwp mit speicher kosten	EUR	500	0%	0%	Hoch	99	"1,64"	"4,29"																	
finanzierung photovoltaik	EUR	500	0%	0%	Hoch	67	"3,42"	"11,50"																	
photovoltaikanlage mit speicher komplettpaket preis mit montage	EUR	50	∞	0%	Hoch	100																			
10 kwp pv anlage kosten	EUR	500	0%	0%	Hoch	100	"1,33"	"4,04"																	
solaranlage kosten einfamilienhaus	EUR	500	0%	0%	Hoch	85	"1,40"	"4,42"																	
photovoltaik speicher preise 2022	EUR	50	-100%	-100%	Unbekannt																				
warmwasser solaranlage	EUR	5000	0%	0%	Hoch	100	"0,48"	"2,31"																	
warmwasser mit photovoltaik	EUR	500	-90%	-90%	Hoch	100	"0,45"	"2,22"																	
photovoltaik steuerfrei	EUR	500	0%	0%	Niedrig	27	"0,36"	"1,87"																	
solaranlage installieren lassen	EUR	50	900%	900%	Hoch	81	"1,83"	"7,50"																	
staatliche förderung solaranlage	EUR	500	0%	0%	Hoch	75	"1,36"	"4,22"																	
pv anlage preis	EUR	500	0%	0%	Hoch	100	"1,93"	"5,60"																	
kfw pv anlage	EUR	500	0%	0%	Hoch	68	"0,30"	"4,84"																	
kfw förderung solaranlage	EUR	500	0%	0%	Hoch	76	"0,94"	"4,48"																	
photovoltaik 100 qm kosten	EUR	50	0%	0%	Mittel	50																			
solaranlage einfamilienhaus kosten	EUR	500	0%	0%	Hoch	85	"1,40"	"4,42"																	
amortisation pv anlage	EUR	500	0%	0%	Mittel	66	"1,04"	"3,19"																	
solar terrassendach förderung	EUR	500	0%	0%	Hoch	73	"0,59"	"1,67"																	
solar förderung 2023	EUR	50	0%	-100%	Unbekannt																				
kosten solaranlage einfamilienhaus	EUR	500	0%	0%	Hoch	85	"1,40"	"4,42"																	
photovoltaik 8 kwp mit speicher kosten	EUR	50	0%	0%	Hoch	98	"2,10"	"5,94"																	
photovoltaik förderung eigenverbrauch	EUR	50	0%	-90%	Mittel	66	"1,00"	"2,64"																	
solar dach kosten	EUR	50	-90%	-90%	Hoch	87	"1,97"	"5,71"																	
kfw förderung balkonkraftwerk	EUR	500	0%	0%	Hoch	80	"0,35"	"2,03"																	
10 kw photovoltaik speicher preis	EUR	50	-90%	0%	Hoch	100	"1,13"	"3,33"																	
förderung pv	EUR	5000	0%	0%	Hoch	69	"1,05"	"2,89"																	
photovoltaik fassade	EUR	500	0%	-90%	Hoch	100	"0,69"	"2,63"																	
lohnt sich eine solaranlage rechner	EUR	500	0%	0%	Hoch	78	"1,31"	"3,66"																	
förderung pv anlage 2023	EUR	50	0%	0%	Niedrig	7																			
kosten für photovoltaikanlage	EUR	5000	0%	0%	Hoch	85	"1,60"	"4,83"																	
kosten photovoltaik pro m2	EUR	500	0%	0%	Hoch	98	"1,20"	"3,68"																	
darlehen pv anlage	EUR	50	0%	900%	Hoch	77	"1,90"	"6,66"																	
darlehen für pv anlage	EUR	50	0%	900%	Hoch	77	"1,90"	"6,66"																	
solaranlagen kosten	EUR	5000	0%	0%	Hoch	93	"1,89"	"5,23"																	
solaranlage förderung 2022	EUR	50	0%	0%	Niedrig	0																			
10kwp anlage kosten	EUR	500	0%	0%	Hoch	100	"1,18"	"3,05"																	
pv anlage steuerfrei	EUR	5000	-90%	-90%	Niedrig	18	"0,33"	"2,39"																	
stromspeicher 100 kwh preis	EUR	500	0%	0%	Hoch	100	"0,26"	"1,66"																	
photovoltaikanlagen preise	EUR	500	0%	0%	Hoch	100	"1,29"	"3,84"																	
pv anlage günstig	EUR	500	0%	0%	Hoch	100	"4,93"	"14,20"																	
photovoltaik kosten pro kwp	EUR	500	-90%	-90%	Hoch	86	"1,38"	"2,90"																	
ab wann lohnt sich eine pv anlage	EUR	500	0%	0%	Hoch	79	"1,48"	"4,83"																	
solaranlage strom	EUR	500	0%	0%	Hoch	99	"1,61"	"4,12"																	
10kw pv anlage kosten	EUR	50	0%	0%	Hoch	91	"2,05"	"4,91"																	
kosten für solaranlage	EUR	5000	0%	0%	Hoch	93	"1,89"	"5,23"																	
kosten einer photovoltaikanlage	EUR	5000	0%	0%	Hoch	85	"1,60"	"4,83"																	
photovoltaik wieviel kwp pro m2	EUR	500	0%	0%	Hoch	71	"0,91"	"2,39"																	
pv speicher kosten	EUR	500	0%	0%	Hoch	100	"1,13"	"3,65"																	
solarwatt module preise	EUR	50	0%	0%	Hoch	100	"0,87"	"2,30"																	
ewe pv anlage	EUR	500	0%	0%	Hoch	79	"2,85"	"9,97"																	
senec speicher preis	EUR	50	0%	0%	Hoch	100	"0,68"	"3,60"																	
kosten solarthermie	EUR	5000	0%	0%	Hoch	100	"0,72"	"2,22"																	
pv anlage kosten rechner	EUR	500	0%	0%	Hoch	86	"2,16"	"6,56"																	
förderung photovoltaik rheinland pfalz 2023	EUR	50	0%	-100%	Unbekannt																				
kosten für solaranlage mit speicher	EUR	50	0%	900%	Hoch	87	"2,19"	"5,69"																	
photovoltaik 10 kwp kosten	EUR	50	0%	0%	Hoch	99	"1,91"	"5,78"																	
balkonkraftwerk kosten	EUR	500	0%	0%	Hoch	100	"0,32"	"1,28"																	
enpal kosten mit speicher	EUR	50	0%	0%	Niedrig	0																			
ab wann lohnt sich photovoltaik	EUR	50	0%	0%	Hoch	78	"1,21"	"3,35"																	
kfw kredit solaranlage	EUR	500	0%	0%	Hoch	76	"0,73"	"5,44"																	
strom cloud kosten	EUR	500	0%	0%	Hoch	70	"0,51"	"1,82"																	
zuschuss solaranlage	EUR	500	0%	0%	Hoch	74	"1,17"	"3,44"																	
solaranlage zuschuss	EUR	500	0%	0%	Hoch	74	"1,17"	"3,44"																	
photovoltaik balkongeländer preise	EUR	500	0%	0%	Hoch	100	"0,76"	"1,85"																	
photovoltaik förderung kfw	EUR	5000	0%	0%	Hoch	74	"0,52"	"4,06"																	
solaranlage für einfamilienhaus	EUR	500	0%	0%	Hoch	99	"1,96"	"6,78"																	
preis pv anlage	EUR	500	0%	0%	Hoch	100	"1,93"	"5,60"																	
solaranlage finanzieren kfw	EUR	50	0%	0%	Hoch	81	"1,89"	"6,90"																	
50 qm photovoltaik ertrag	EUR	50	0%	0%	Mittel	63	"0,98"	"2,74"																	
wärmepumpe mit photovoltaik kosten	EUR	500	0%	0%	Hoch	73	"2,09"	"8,59"																	
photovoltaik fassade kosten pro m2	EUR	50	0%	-90%	Hoch	98	"0,94"	"2,06"																	
förderung von photovoltaikanlagen	EUR	5000	0%	0%	Hoch	79	"1,46"	"4,25"																	
speicher photovoltaik kosten	EUR	5000	0%	0%	Hoch	100	"1,28"	"4,70"																	
kosten balkonkraftwerk	EUR	500	0%	0%	Hoch	100	"0,33"	"1,13"																	
solar aufs dach kosten	EUR	500	0%	0%	Hoch	83	"1,91"	"6,63"																	
preis photovoltaikanlage	EUR	500	0%	0%	Hoch	96	"1,62"	"4,87"																	
solaranlage ohne anschaffungskosten	EUR	50	0%	0%	Niedrig	0																			
solarpanel warmwasser	EUR	500	0%	0%	Hoch	100	"0,16"	"1,92"																	
solar mit speicher kosten	EUR	500	0%	0%	Hoch	100	"0,85"	"2,47"																	
preis photovoltaik	EUR	500	0%	0%	Hoch	96	"1,55"	"3,96"																	
photovoltaik fassade einfamilienhaus	EUR	500	0%	0%	Hoch	90	"0,75"	"2,23"																	
kfw photovoltaik förderung	EUR	5000	0%	0%	Hoch	74	"0,52"	"4,06"																	
photovoltaik finanzierung kfw	EUR	50	0%	0%	Hoch	74	"0,60"	"5,51"																	
solaranlage einfamilienhaus	EUR	500	0%	0%	Hoch	99	"1,96"	"6,78"																	
photovoltaik strom verkaufen	EUR	500	0%	0%	Mittel	63	"0,64"	"1,77"																	
förderung solaranlage 2023	EUR	50	0%	0%	Hoch	86																			
photovoltaik angebot online	EUR	50	0%	0%	Mittel	52	"6,22"	"19,63"																	
kfw kredit pv anlage	EUR	500	0%	900%	Hoch	78	"0,52"	"4,40"																	
pv speicher förderung	EUR	500	0%	0%	Mittel	50	"0,50"	"1,65"																	
kfw photovoltaik 2023	EUR	50	0%	-100%	Unbekannt																				
wieviel photovoltaik brauche ich für ein einfamilienhaus 2 personen	EUR	500	0%	0%	Hoch	76	"1,16"	"3,22"																	
solar auf dem dach kosten	EUR	500	0%	0%	Hoch	83	"1,91"	"6,63"																	
kosten 10 kwp pv anlage	EUR	50	0%	900%	Hoch	86	"1,77"	"4,76"																	
solar warmwasser komplettanlage	EUR	50	0%	0%	Hoch	100	"0,74"	"2,35"																	
gasheizung mit solar komplett preis	EUR	50	-90%	-90%	Hoch	98	"0,95"	"2,63"																	
solaranlage montage kosten	EUR	500	-90%	-90%	Hoch	88	"1,46"	"3,88"																	
photovoltaikanlage kosten einfamilienhaus	EUR	50	-90%	0%	Hoch	83	"1,97"	"5,10"																	
förderung photovoltaikanlage	EUR	5000	0%	0%	Hoch	79	"1,46"	"4,25"																	
preis pv anlage mit speicher	EUR	50	-90%	-90%	Hoch	86	"2,04"	"5,94"																	
günstiger kredit für photovoltaikanlage	EUR	50	0%	0%	Hoch	86	"2,57"	"12,54"																	
kosten photovoltaik einfamilienhaus	EUR	500	0%	0%	Hoch	91	"1,48"	"4,17"																	
pv anlage kosten pro m2	EUR	500	-90%	-90%	Hoch	82	"1,53"	"3,78"																	
enpal wärmepumpe kosten	EUR	5000	-90%	0%	Hoch	78	"2,13"	"10,07"																	
pv anlage 8 kwp mit speicher kosten	EUR	500	0%	0%	Hoch	100	"1,72"	"4,75"																	
solaranlage finanzierung	EUR	500	0%	0%	Hoch	78	"3,87"	"13,98"																	
fördermittel für solaranlagen	EUR	500	0%	0%	Hoch	79	"1,37"	"4,20"																	
lohnt sich eine pv anlage mit speicher	EUR	500	0%	0%	Hoch	78	"1,37"	"4,59"																	
5 kwp pv anlage kosten	EUR	50	0%	0%	Hoch	100	"1,51"	"3,71"																	
photovoltaik 10 kwp mit speicher kosten	EUR	500	900%	900%	Hoch	100	"1,26"	"3,60"																	
pv anlage kosten 2023	EUR	50	0%	-100%	Unbekannt																				
pv anlage 4 kwp	EUR	500	0%	0%	Hoch	100	"1,37"	"3,90"																	
photovoltaik lohnt sich nicht	EUR	500	0%	0%	Mittel	43	"0,79"	"2,71"																	
preis solaranlage mit speicher	EUR	50	0%	0%	Hoch	91	"2,01"	"5,15"																	
batteriespeicher förderung	EUR	500	0%	0%	Mittel	41	"0,73"	"2,03"																	
solarpanel dach kosten	EUR	500	0%	0%	Hoch	99	"1,39"	"4,89"																	
photovoltaikanlage förderung 2023	EUR	50	∞	0%	Niedrig	0																			
förderung für pv anlagen	EUR	500	0%	0%	Hoch	79	"1,37"	"3,79"																	
umsatzsteuer pv anlage	EUR	5000	0%	-90%	Niedrig	11	"0,01"	"1,02"																	
investitionsabzugsbetrag photovoltaik	EUR	500	0%	0%	Mittel	65	"3,13"	"6,76"																	
photovoltaik kosten einfamilienhaus	EUR	500	0%	0%	Hoch	91	"1,48"	"4,17"																	
finanzierung pv anlage kfw	EUR	50	0%	0%	Hoch	81	"1,01"	"6,05"																	
solarthermieanlage kosten	EUR	500	0%	0%	Hoch	97	"0,94"	"2,85"																	
solarspeicher förderung	EUR	50	0%	-90%	Mittel	65	"0,65"	"1,73"																	
solaranlage preisvergleich	EUR	50	-90%	-90%	Hoch	98	"4,28"	"18,19"																	
wieviel strom produziert eine pv anlage	EUR	50	0%	0%	Mittel	54	"0,80"	"2,08"																	
förderung von solaranlagen	EUR	50	-90%	-90%	Hoch	79	"1,26"	"4,62"																	
wieviel kostet eine solaranlage	EUR	500	0%	0%	Hoch	94	"1,54"	"4,39"																	
lohnt sich pv anlage	EUR	500	0%	0%	Hoch	77	"1,34"	"5,01"																	
solaranlage 10 kwp mit speicher kosten	EUR	500	0%	0%	Hoch	100	"1,60"	"4,86"																	
pv anlage finanzieren kfw	EUR	50	0%	0%	Hoch	83	"0,59"	"6,93"																	
sonnenkollektoren warmwasser	EUR	500	0%	0%	Hoch	100	"0,23"	"1,85"																	
kosten pv anlage 2023	EUR	50	0%	∞	Niedrig	0																			
cloud speicher strom	EUR	50	0%	0%	Mittel	63	"0,54"	"1,75"																	
solaranlage mit speicher warmwasser	EUR	50	0%	0%	Hoch	100	"1,32"	"3,47"																	
pv anlage einfamilienhaus	EUR	500	0%	0%	Hoch	84	"2,27"	"8,43"																	
kosten pv anlage pro m2	EUR	500	-90%	-90%	Hoch	82	"1,53"	"3,78"																	
pv speicher preise	EUR	500	0%	0%	Hoch	100	"0,40"	"2,12"																	
solardachziegel kosten pro m2	EUR	500	0%	0%	Hoch	77	"0,72"	"1,72"																	
enpal photovoltaik kosten	EUR	50	-90%	-90%	Hoch	80	"2,40"	"9,15"																	
kfw solar	EUR	500	0%	0%	Hoch	72	"0,52"	"5,36"																	
förderung für photovoltaik 2023	EUR	50	∞	0%	Niedrig	14																			
pv anlage steuer	EUR	500	0%	0%	Niedrig	26	"0,16"	"1,98"																	
lohnt sich photovoltaik 2023	EUR	50	0%	0%	Unbekannt																				
kosten stromspeicher	EUR	5000	0%	0%	Hoch	100	"0,63"	"1,78"																	
solarplatten für strom	EUR	50	0%	0%	Hoch	100	"0,99"	"3,07"																	
wieviel kostet eine photovoltaikanlage	EUR	500	0%	900%	Hoch	86	"1,40"	"4,50"																	
kosten einer solaranlage	EUR	5000	0%	0%	Hoch	93	"1,89"	"5,23"																	
solaranlage auf raten kaufen	EUR	50	0%	0%	Hoch	86																			
lohnt sich photovoltaik für einfamilienhaus	EUR	500	-90%	-90%	Mittel	62	"0,91"	"2,86"																	
ab wann rechnet sich eine pv anlage	EUR	50	-90%	-90%	Hoch	79	"1,30"	"4,48"																	
pv kosten pro kwp	EUR	500	0%	0%	Hoch	76	"1,39"	"3,23"																	
amortisation pv anlage rechner	EUR	500	0%	0%	Hoch	75	"0,88"	"2,34"																	
kosten photovoltaik pro kwh	EUR	50	0%	0%	Mittel	56	"1,28"	"3,88"																	
solaranlage haus kosten	EUR	500	-90%	-90%	Hoch	89	"2,03"	"5,28"																	
photovoltaik warmwasser	EUR	500	-90%	-90%	Hoch	100	"0,45"	"2,22"																	
zuschüsse photovoltaik 2023	EUR	50	-100%	-100%	Unbekannt																				
bafa förderung batteriespeicher	EUR	500	0%	0%	Mittel	46	"0,50"	"1,90"																	
pv anlage 10 kwp mit speicher kosten	EUR	500	0%	0%	Hoch	100	"2,10"	"5,78"																	
förderung batteriespeicher 2023	EUR	50	∞	0%	Niedrig	0																			
kfw förderung photovoltaik privat	EUR	500	-90%	0%	Hoch	73	"1,03"	"3,76"																	
solar auf dach förderung	EUR	50	0%	0%	Hoch	74	"2,96"	"9,23"																	
finanzierung solaranlage kfw	EUR	50	0%	0%	Hoch	81	"1,89"	"6,90"																	
lohnt sich photovoltaik rechner	EUR	50	0%	0%	Hoch	73	"1,42"	"3,79"																	
solaranlage ohne kosten	EUR	50	0%	0%	Hoch	86	"3,45"	"12,21"																	
