Keyword Stats 2026-06-18 at 15_27_27
1. Juni 2025 - 31. Mai 2026
Keyword	Currency	Avg. monthly searches	Änderung über drei Monate	Änderung im Jahresvergleich	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026
kosten wärmepumpe mit photovoltaik	EUR	500	0%	0%	Hoch	73	"2,08"	"8,53"																	
förderung luftwärmepumpe	EUR	500	0%	0%	Hoch	68	"1,06"	"4,25"																	
kosten für wärmepumpe	EUR	50000	0%	0%	Hoch	89	"1,53"	"5,00"																	
kosten einer wärmepumpe	EUR	50000	0%	0%	Hoch	89	"1,53"	"5,00"																	
bafa wärmepumpe förderung	EUR	500	0%	0%	Mittel	62	"0,84"	"3,71"																	
wärmepumpe finanzieren	EUR	500	0%	0%	Hoch	83	"3,39"	"12,73"																	
wärmepumpe mehrfamilienhaus altbau	EUR	500	0%	0%	Hoch	97	"1,18"	"4,17"																	
wärmepumpenförderung 2023	EUR	50	0%	0%	Niedrig	12																			
förderung wärmepumpe privat	EUR	500	0%	0%	Hoch	74	"1,02"	"3,03"																	
wieviel kostet eine wärmepumpe	EUR	500	-90%	0%	Hoch	83	"1,11"	"3,08"																	
zuschuss wärmepumpe 2023	EUR	50	0%	0%	Niedrig	0																			
wärmepumpe kaufen preis	EUR	500	0%	0%	Hoch	100	"1,34"	"4,42"																	
hybrid wärmepumpe gas	EUR	5000	-90%	-90%	Hoch	100	"0,87"	"2,70"																	
wärmepumpe für einfamilienhaus	EUR	5000	-90%	0%	Hoch	100	"1,91"	"6,43"																	
von gas auf wärmepumpe umrüsten kosten	EUR	500	0%	0%	Hoch	75	"1,39"	"5,96"																	
kosten luft wasser wärmepumpe	EUR	5000	0%	0%	Hoch	97	"1,60"	"4,76"																	
vaillant wärmepumpe für altbau	EUR	500	0%	0%	Hoch	100	"1,02"	"2,81"																	
thermondo wärmepumpe preis	EUR	500	0%	0%	Hoch	90	"1,69"	"4,57"																	
kredit für wärmepumpe	EUR	500	0%	0%	Hoch	84	"2,53"	"8,91"																	
kosten wärmepumpe mehrfamilienhaus	EUR	500	0%	0%	Hoch	80	"1,41"	"5,32"																	
förderung ladestation	EUR	500	0%	0%	Mittel	38	"0,30"	"0,75"																	
förderantrag wärmepumpe	EUR	500	0%	0%	Hoch	79	"0,88"	"3,68"																	
kfw wärmepumpe	EUR	500	0%	900%	Mittel	65	"0,16"	"2,98"																	
wärmepumpe altbau ohne dämmung	EUR	500	0%	0%	Hoch	73	"0,91"	"3,60"																	
staatliche förderung wärmepumpe	EUR	5000	0%	900%	Hoch	80	"1,30"	"4,36"																	
strom wärmepumpe vergleich	EUR	5000	-90%	0%	Hoch	79	"1,25"	"4,08"																	
wärmepumpenförderung	EUR	5000	0%	900%	Hoch	79	"1,35"	"4,53"																	
wärmepumpe einbauen kosten	EUR	5000	0%	0%	Hoch	79	"1,86"	"6,53"																	
kredit wärmepumpe	EUR	500	0%	0%	Hoch	83	"2,42"	"8,03"																	
luftwärmepumpe für altbau	EUR	500	0%	0%	Hoch	100	"1,19"	"3,62"																	
altbau wärmepumpe	EUR	50000	0%	900%	Hoch	97	"1,37"	"4,34"																	
hybridheizung gas wärmepumpe kosten	EUR	500	0%	0%	Hoch	94	"0,90"	"2,57"																	
förderung wärmepumpe 2022 altbau	EUR	50	-100%	-100%	Unbekannt																				
wärmepumpe vaillant kosten	EUR	50	0%	0%	Hoch	100	"1,54"	"3,90"																	
hybridheizung gas luftwärmepumpe	EUR	50	0%	-90%	Hoch	79	"0,87"	"2,85"																	
luft wasser wärmepumpe preis	EUR	50	0%	-90%	Hoch	100	"1,38"	"3,69"																	
förderung wärmepumpe 2024	EUR	500	-90%	-90%	Mittel	41	"0,97"	"2,86"																	
gas wärmepumpe hybrid	EUR	5000	-90%	-90%	Hoch	100	"0,87"	"2,70"																	
stromkosten wärmepumpe	EUR	5000	0%	0%	Hoch	70	"0,54"	"1,81"																	
vaillant wärmepumpe kosten	EUR	500	0%	900%	Hoch	94	"1,51"	"4,16"																	
förderung wärmepumpen 2023	EUR	50	0%	0%	Niedrig	25	"0,83"	"1,51"																	
wärmepumpe kosten monatlich	EUR	500	-90%	0%	Hoch	73	"0,81"	"2,99"																	
wärmepumpe für altbau ohne fußbodenheizung kosten	EUR	500	0%	0%	Hoch	93	"1,39"	"4,41"																	
brauchwasserwärmepumpe förderung	EUR	500	-90%	0%	Hoch	95	"0,48"	"1,49"																	
wärmepumpenheizung im altbau	EUR	50	0%	0%	Mittel	61	"0,78"	"2,65"																	
wärmepumpenheizung altbau	EUR	50	0%	0%	Mittel	61	"0,78"	"2,65"																	
erdwärmepumpe altbau	EUR	50	0%	900%	Mittel	63	"1,05"	"2,89"																	
kleine wärmepumpe für warmwasser	EUR	50	0%	0%	Hoch	100	"0,42"	"1,44"																	
wärmepumpe mit photovoltaik kosten	EUR	500	0%	0%	Hoch	73	"2,08"	"8,53"																	
kfw kredit wärmepumpe	EUR	5000	0%	0%	Hoch	73	"0,48"	"3,44"																	
fördergelder wärmepumpe	EUR	500	0%	0%	Hoch	77	"1,20"	"3,80"																	
warmwasser wärmepumpe förderung	EUR	500	0%	0%	Hoch	100	"0,57"	"1,85"																	
vaillant wärmepumpe preise	EUR	500	0%	0%	Hoch	100	"1,05"	"2,94"																	
kosten einbau wärmepumpe	EUR	5000	0%	0%	Hoch	79	"1,86"	"6,53"																	
erdwärme heizung kosten	EUR	500	0%	0%	Hoch	73	"0,93"	"3,17"																	
daikin wärmepumpe preis	EUR	500	0%	0%	Hoch	100	"0,82"	"2,38"																	
vaillant warmwasser wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,29"	"1,40"																	
wärmepumpe heizung und warmwasser	EUR	5000	-90%	0%	Hoch	100	"1,31"	"4,73"																	
wasser wasser wärmepumpe kosten	EUR	500	0%	0%	Hoch	100	"0,77"	"2,87"																	
luft wasser wärmepumpe altbau	EUR	50	0%	0%	Hoch	100	"1,30"	"3,73"																	
förderung wärmepumpe neubau 2023	EUR	50	0%	-100%	Unbekannt																				
wärmepumpe luft wasser kosten	EUR	500	0%	0%	Hoch	99	"1,75"	"5,39"																	
gas hybrid wärmepumpe	EUR	5000	-90%	-90%	Hoch	100	"0,87"	"2,70"																	
gasheizung durch wärmepumpe ersetzen	EUR	500	0%	0%	Hoch	74	"1,82"	"6,12"																	
stromverbrauch wärmepumpe berechnen	EUR	500	0%	0%	Hoch	72	"0,51"	"1,92"																	
luftwärmepumpe kosten pro monat	EUR	500	0%	0%	Hoch	69	"0,82"	"2,95"																	
lambda wärmepumpe preis	EUR	5000	0%	900%	Hoch	100	"0,68"	"2,45"																	
wärmepumpe hybrid gas	EUR	500	0%	0%	Hoch	99	"0,88"	"2,61"																	
förderung luft luft wärmepumpe	EUR	500	0%	0%	Hoch	77	"0,77"	"3,44"																	
wärmepumpe kosten anschaffung	EUR	50	0%	0%	Hoch	72	"1,38"	"3,85"																	
förderung von wärmepumpen	EUR	50000	0%	0%	Hoch	79	"0,96"	"3,52"																	
ochsner wärmepumpen preisliste 2022	EUR	50	0%	-100%	Unbekannt																				
sole wasser wärmepumpe kosten	EUR	500	0%	0%	Hoch	100	"1,04"	"3,12"																	
gasheizung mit wärmepumpe	EUR	500	0%	0%	Hoch	97	"0,65"	"2,44"																	
enpal wärmepumpe kosten	EUR	5000	-90%	0%	Hoch	78	"2,12"	"10,01"																	
aktuelle förderung wärmepumpe	EUR	500	0%	0%	Hoch	81	"1,08"	"4,03"																	
kfw förderung wärmepumpe 2023	EUR	50	-100%	-100%	Unbekannt																				
verivox strom wärmepumpe	EUR	500	0%	0%	Mittel	60	"0,83"	"2,34"																	
sole wärmepumpe kosten	EUR	500	0%	0%	Hoch	94	"1,31"	"3,85"																	
bosch wärmepumpe altbau	EUR	500	0%	0%	Hoch	100	"0,94"	"3,02"																	
erdsonde wärmepumpe kosten	EUR	500	0%	0%	Hoch	77	"1,10"	"3,83"																	
wärmepumpe mehrfamilienhaus preis	EUR	500	0%	0%	Hoch	89	"0,95"	"3,32"																	
verbrauch wärmepumpe	EUR	5000	0%	0%	Mittel	57	"0,39"	"1,79"																	
luft wasser wärmepumpe vor und nachteile	EUR	500	0%	0%	Hoch	71	"0,39"	"1,55"																	
wärmepumpe für warmwasser sinnvoll	EUR	500	0%	0%	Hoch	100	"0,29"	"1,43"																	
wärmepumpe stromverbrauch pro tag winter	EUR	5000	0%	0%	Mittel	48	"0,28"	"1,38"																	
luftwärmepumpe komplettpaket preis	EUR	500	0%	900%	Hoch	99	"1,36"	"5,02"																	
kosten für eine wärmepumpe	EUR	50000	0%	0%	Hoch	89	"1,53"	"5,00"																	
wärmepumpenheizung förderung	EUR	50	-90%	0%	Hoch	78	"1,86"	"6,47"																	
wärmepumpe altbau erfahrungen	EUR	500	-90%	0%	Hoch	72	"0,86"	"2,74"																	
wärmepumpe statt gasheizung	EUR	500	0%	900%	Hoch	79	"1,80"	"5,69"																	
wärmepumpe einfamilienhaus kosten	EUR	500	0%	0%	Hoch	85	"1,58"	"4,94"																	
wärmepumpe stromverbrauch pro jahr	EUR	5000	0%	0%	Hoch	68	"0,33"	"1,65"																	
wärmepumpe für altbau kosten	EUR	5000	0%	0%	Hoch	82	"1,51"	"4,45"																	
preise für wärmepumpen	EUR	5000	0%	0%	Hoch	97	"1,14"	"3,29"																	
förderung wärmepumpe 2023 altbau	EUR	50	0%	0%	Niedrig	0																			
luft luft wärmepumpe preis	EUR	500	0%	0%	Hoch	100	"0,81"	"2,56"																	
finanzierung wärmepumpe	EUR	500	0%	0%	Hoch	83	"3,39"	"12,73"																	
antrag förderung wärmepumpe	EUR	500	0%	0%	Hoch	79	"0,85"	"3,57"																	
einbau wärmepumpe kosten	EUR	5000	0%	0%	Hoch	79	"1,86"	"6,53"																	
gastherme ersetzen	EUR	50	0%	0%	Hoch	77	"1,24"	"4,02"																	
stromverbrauch wärmepumpe rechner	EUR	5000	-90%	0%	Hoch	71	"0,39"	"1,44"																	
großwärmepumpen	EUR	500	0%	0%	Hoch	75	"1,64"	"3,92"																	
wärmepumpe gasheizung	EUR	500	0%	0%	Hoch	79	"1,18"	"3,98"																	
staatliche förderung wärmepumpe 2023	EUR	50	∞	0%	Mittel	57																			
kosten erdsondenheizung	EUR	50	∞	0%	Hoch	86																			
luft wärmepumpe kosten altbau	EUR	500	-90%	-90%	Hoch	100	"0,79"	"2,71"																	
wärmepumpe preisvergleich	EUR	500	-90%	0%	Hoch	88	"2,05"	"7,51"																	
stromverbrauch wärmepumpe pro jahr	EUR	5000	0%	0%	Hoch	68	"0,33"	"1,65"																	
wärmepumpe gas hybrid	EUR	5000	-90%	-90%	Hoch	100	"0,87"	"2,70"																	
wärmepumpe für warmwasser und heizung	EUR	5000	-90%	0%	Hoch	100	"1,31"	"4,73"																	
buderus wärmepumpe altbau	EUR	500	0%	0%	Hoch	100	"0,95"	"2,95"																	
stromverbrauch einfamilienhaus mit wärmepumpe	EUR	500	0%	0%	Niedrig	32	"0,36"	"1,73"																	
luftwärmepumpe warmwasser	EUR	500	0%	0%	Hoch	100	"0,53"	"2,36"																	
förderung wärmepumpe habeck	EUR	50	-100%	-100%	Unbekannt																				
förderung wärmepumpe beantragen	EUR	500	0%	0%	Hoch	72	"0,94"	"4,35"																	
viessmann warmwasser wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,32"	"2,00"																	
erdwärmebohrung kosten	EUR	500	0%	0%	Hoch	71	"0,58"	"2,37"																	
wärmepumpe erdwärme kosten	EUR	500	0%	0%	Hoch	81	"1,17"	"3,97"																	
bafa wärmepumpe	EUR	500	0%	0%	Mittel	59	"0,84"	"3,93"																	
zuschuss für wärmepumpe	EUR	5000	0%	0%	Hoch	79	"1,00"	"3,18"																	
wärmepumpe leistung	EUR	500	-90%	0%	Hoch	86	"0,65"	"1,80"																	
luft luft wärmepumpe für altbau	EUR	500	0%	0%	Hoch	100	"0,86"	"2,62"																	
wärmepumpe nachrüsten kosten	EUR	500	0%	0%	Hoch	76	"1,85"	"6,75"																	
kosten heizung wärmepumpe	EUR	500	0%	0%	Hoch	76	"1,23"	"4,01"																	
stromverbrauch wärmepumpe altbau	EUR	500	0%	900%	Mittel	66	"0,41"	"1,74"																	
förderung erdwärmepumpe	EUR	500	0%	0%	Mittel	64	"0,78"	"3,08"																	
förderung wärmepumpe altbau	EUR	500	-90%	0%	Hoch	68	"1,07"	"3,60"																	
preis wärmepumpe einfamilienhaus	EUR	500	-90%	-90%	Hoch	93	"1,61"	"4,26"																	
wärmepumpe wieviel kw pro m2	EUR	500	0%	0%	Hoch	79	"0,60"	"1,84"																	
wärmepumpe ersetzen kosten	EUR	50	0%	0%	Hoch	84	"2,60"	"9,63"																	
stromverbrauch luftwärmepumpe	EUR	500	0%	0%	Mittel	56	"0,37"	"1,49"																	
stromvertrag wärmepumpe	EUR	500	-90%	-90%	Hoch	83	"1,57"	"5,09"																	
vorhandene gasheizung mit wärmepumpe nachrüsten	EUR	500	-90%	0%	Hoch	89	"0,70"	"2,36"																	
förderung wärmepumpe neubau	EUR	500	0%	0%	Hoch	74	"0,69"	"2,12"																	
wärmepumpe haus kosten	EUR	500	0%	0%	Hoch	89	"1,77"	"6,34"																	
neue gasheizung förderung 2023	EUR	50	0%	-100%	Unbekannt																				
nibe wärmepumpe preis	EUR	500	0%	0%	Hoch	100	"0,35"	"2,16"																	
bosch wärmepumpe preis	EUR	5000	0%	900%	Hoch	100	"0,91"	"3,05"																	
wärmepumpe altbau heizkörper	EUR	500	0%	0%	Hoch	98	"1,25"	"3,88"																	
wärmeluftpumpe kosten	EUR	50	0%	0%	Hoch	88	"1,36"	"4,29"																	
zuschüsse wärmepumpe 2023	EUR	50	0%	0%	Niedrig	0																			
erdsondenheizung kosten	EUR	50	∞	0%	Hoch	86																			
tiefenbohrung erdwärme kosten	EUR	500	0%	0%	Hoch	68	"0,64"	"2,49"																	
kfw förderung wärmepumpe 2022	EUR	50	0%	0%	Niedrig	0																			
förderung luft wasser wärmepumpe	EUR	50	0%	0%	Hoch	76	"1,09"	"3,65"																	
förderprogramm wärmepumpe	EUR	500	0%	0%	Hoch	78	"1,28"	"4,49"																	
wärmepumpe förderung altbau	EUR	500	0%	0%	Hoch	75	"1,20"	"4,07"																	
gasheizung mit wärmepumpe nachrüsten	EUR	50	0%	0%	Hoch	74	"0,68"	"2,87"																	
buderus wärmepumpe preis	EUR	500	-90%	0%	Hoch	100	"0,91"	"3,03"																	
hybridheizung öl wärmepumpe kosten	EUR	500	0%	0%	Hoch	96	"0,60"	"2,03"																	
warmwasser wärmepumpe mit wärmetauscher	EUR	500	0%	0%	Hoch	100	"0,31"	"1,51"																	
erdwärmepumpe kosten bohrung	EUR	500	0%	0%	Mittel	65	"0,64"	"2,61"																	
vaillant wärmepumpe altbau	EUR	50	0%	0%	Hoch	96	"1,15"	"3,72"																	
heizkörper für wärmepumpe altbau	EUR	500	0%	0%	Hoch	100	"0,54"	"1,77"																	
wärmepumpe kosten mit einbau	EUR	5000	0%	0%	Hoch	81	"1,27"	"4,91"																	
hybrid gas wärmepumpe	EUR	500	0%	0%	Hoch	97	"0,89"	"2,72"																	
wärmepumpe leasen kosten	EUR	50	-90%	0%	Hoch	83	"2,45"	"10,07"																	
bafa förderung wärmepumpe 2022	EUR	50	0%	0%	Niedrig	14																			
gas wärmepumpe	EUR	500	0%	0%	Hoch	84	"0,79"	"2,71"																	
wärmepumpe zuschuss 2023	EUR	50	0%	0%	Hoch	76	"0,86"	"1,75"																	
wärmepumpe luft luft kosten	EUR	5000	0%	900%	Hoch	100	"0,91"	"3,27"																	
vaillant luftwärmepumpe preis	EUR	50	0%	0%	Hoch	100	"1,16"	"3,68"																	
erdbohrung wärmepumpe kosten	EUR	500	0%	0%	Hoch	73	"0,63"	"2,84"																	
gasheizung mit solarthermie kosten	EUR	50	0%	-90%	Hoch	83	"0,94"	"3,22"																	
wasser wärmepumpe kosten	EUR	500	0%	0%	Hoch	100	"0,90"	"2,81"																	
stromverbrauch luftwärmepumpe pro tag	EUR	50	0%	0%	Mittel	43	"0,29"	"0,77"																	
wärmepumpe verbrauch	EUR	5000	0%	0%	Mittel	57	"0,39"	"1,79"																	
erdwärme tiefenbohrung kosten	EUR	500	0%	0%	Hoch	68	"0,64"	"2,49"																	
buderus warmwasser wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,31"	"1,54"																	
hybridheizung gas wärmepumpe altbau	EUR	500	-90%	-90%	Hoch	100	"0,72"	"2,23"																	
förderung für wärmepumpen 2023	EUR	50	0%	0%	Niedrig	0																			
wieviel kostet eine wärmepumpe für ein einfamilienhaus	EUR	500	0%	900%	Hoch	81	"1,32"	"3,81"																	
förderung luft luft wärmepumpe 2023	EUR	50	0%	-100%	Unbekannt																				
ölheizung auf wärmepumpe umrüsten kosten	EUR	500	0%	0%	Hoch	78	"1,48"	"6,19"																	
kosten wärmepumpe heizung	EUR	50	-90%	0%	Hoch	80	"1,55"	"4,96"																	
gasheizung mit wärmepumpe nachrüsten vaillant	EUR	50	∞	0%	Hoch	86																			
daikin wärmepumpe altbau	EUR	50	0%	0%	Hoch	100	"0,92"	"2,89"																	
förderung wärmepumpe wie lange noch	EUR	500	0%	0%	Mittel	66	"0,87"	"2,70"																	
wärmepumpe klein	EUR	5000	0%	0%	Hoch	100	"0,78"	"2,36"																	
bafa förderung wärmepumpe antragsformular	EUR	500	0%	0%	Mittel	65	"0,49"	"2,27"																	
wärmepumpe viessmann kosten	EUR	500	-90%	0%	Hoch	99	"1,22"	"3,59"																	
warmwasser wärmepumpe 200 liter	EUR	500	0%	0%	Hoch	100	"0,34"	"1,68"																	
wärmepumpe 200 qm altbau	EUR	500	-90%	-90%	Hoch	100	"0,93"	"2,96"																	
luftwärmepumpe altbau erfahrung	EUR	500	-90%	-90%	Hoch	81	"0,86"	"2,27"																	
wärmepumpe kosten förderung	EUR	500	0%	900%	Hoch	77	"1,27"	"4,84"																	
wärmepumpe kfw förderung	EUR	500	0%	0%	Hoch	75	"0,64"	"4,02"																	
gasheizung oder wärmepumpe	EUR	500	0%	0%	Hoch	73	"1,01"	"3,49"																	
strom vergleich wärmepumpe	EUR	5000	-90%	0%	Hoch	79	"1,25"	"4,08"																	
wärmepumpe installation kosten	EUR	500	0%	0%	Hoch	82	"2,20"	"8,46"																	
wärmepumpen im altbau	EUR	50000	0%	900%	Hoch	97	"1,37"	"4,34"																	
förderung brauchwasserwärmepumpe	EUR	500	-90%	0%	Hoch	95	"0,48"	"1,49"																	
wärmepumpen strom vergleich	EUR	5000	-90%	0%	Hoch	79	"1,25"	"4,08"																	
ochsner wärmepumpe preis	EUR	500	0%	0%	Hoch	100	"0,48"	"2,19"																	
wärmepumpe kredit	EUR	500	0%	0%	Hoch	80	"2,95"	"9,13"																	
stromverbrauch wärmepumpe pro tag	EUR	500	0%	0%	Mittel	41	"0,23"	"1,40"																	
warmwasser mit wärmepumpe	EUR	50000	0%	0%	Hoch	100	"0,44"	"2,07"																	
heizung wärmepumpe altbau	EUR	500	0%	900%	Niedrig	19	"1,43"	"5,08"																	
wärmepumpe und photovoltaik kosten	EUR	500	0%	0%	Hoch	81	"3,46"	"12,36"																	
wärmepumpenheizung kosten altbau	EUR	50	-100%	-100%	Unbekannt																				
förderung luftwärmepumpe 2023	EUR	50	-100%	0%	Unbekannt																				
wärmepumpe altes haus	EUR	500	0%	0%	Hoch	80	"1,13"	"3,62"																	
erdwärme heizung kosten altbau	EUR	500	0%	900%	Hoch	71	"0,76"	"2,46"																	
wärmepumpe in altbau	EUR	500	0%	0%	Hoch	81	"0,93"	"3,27"																	
wärmepumpe für einfamilienhaus kosten	EUR	5000	0%	0%	Hoch	86	"1,42"	"4,71"																	
luft wasser wärmepumpe kosten altbau	EUR	50	0%	0%	Mittel	64	"0,94"	"2,89"																	
luftwärmepumpe förderung 2023	EUR	50	∞	0%	Hoch	71																			
panasonic wärmepumpe altbau	EUR	50	0%	0%	Hoch	100	"0,86"	"1,86"																	
wärmepumpe stromverbrauch pro tag	EUR	500	0%	0%	Mittel	41	"0,23"	"1,40"																	
stiebel eltron warmwasser wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,31"	"1,35"																	
warmwasser wärmepumpe vaillant	EUR	500	0%	0%	Hoch	100	"0,29"	"1,40"																	
wärmepumpe subvention	EUR	500	0%	0%	Hoch	73	"1,46"	"4,99"																	
strombedarf wärmepumpe	EUR	500	0%	0%	Hoch	68	"0,35"	"1,70"																	
kosten luftwärmepumpe einfamilienhaus	EUR	50	-90%	0%	Hoch	88	"2,04"	"6,27"																	
wärmepumpe statt gastherme	EUR	500	0%	900%	Hoch	85	"1,13"	"3,81"																	
gasheizung hybrid	EUR	500	-90%	0%	Hoch	100	"0,77"	"2,46"																	
wärmepumpe für heizung und warmwasser	EUR	5000	-90%	0%	Hoch	100	"1,31"	"4,73"																	
