Keyword Stats 2026-06-18 at 12_03_39
1. Juni 2025 - 31. Mai 2026
Keyword	Currency	Avg. monthly searches	Änderung über drei Monate	Änderung im Jahresvergleich	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026
bafa förderung klimaanlage	EUR	500	0%	0%	Mittel	42	"0,27"	"1,30"																	
klimaanlage mit wärmepumpe	EUR	5000	0%	0%	Hoch	100	"0,52"	"2,34"																	
daikin klimaanlage heizen	EUR	500	0%	0%	Hoch	100	"0,27"	"1,02"																	
klimaanlage heizen und kühlen	EUR	500	900%	900%	Hoch	100	"0,31"	"1,48"																	
förderung klimaanlage 2023	EUR	50	0%	-100%	Unbekannt																				
klima splitgerät heizen	EUR	500	0%	0%	Hoch	100	"0,28"	"1,21"																	
klimagerät heizen	EUR	500	0%	0%	Hoch	100	"0,33"	"1,41"																	
klimageräte zum heizen	EUR	500	0%	0%	Hoch	100	"0,33"	"1,41"																	
mit klimaanlage heizen bei minusgraden	EUR	500	-90%	-90%	Hoch	99	"0,20"	"1,00"																	
klimaanlage statt wärmepumpe	EUR	500	0%	0%	Hoch	84	"0,24"	"1,48"																	
klimaanlage förderung 2023	EUR	50	∞	0%	Niedrig	0																			
klimaanlage als wärmepumpe	EUR	5000	0%	0%	Hoch	100	"0,52"	"2,34"																	
wärmepumpe als klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,52"	"2,34"																	
förderung klimaanlage einfamilienhaus	EUR	500	0%	-90%	Mittel	56	"0,25"	"1,25"																	
klimasplitgeräte zum heizen	EUR	500	0%	0%	Hoch	100	"0,32"	"1,83"																	
wärmepumpe mit klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,52"	"2,34"																	
wohnung kühlen	EUR	5000	900%	900%	Hoch	100	"0,15"	"0,85"																	
staatliche förderung klimaanlage privatpersonen	EUR	50	0%	0%	Mittel	66	"0,38"	"1,73"																	
klimaanlage zum heizen und kühlen	EUR	500	900%	900%	Hoch	100	"0,31"	"1,48"																	
klimaanlage förderung 2022 privat	EUR	50	∞	∞	Niedrig	0																			
klimagerät heizen und kühlen	EUR	500	0%	0%	Hoch	100	"0,30"	"1,27"																	
heizen mit klimaanlage kosten	EUR	500	0%	0%	Hoch	94	"0,16"	"1,48"																	
heizen mit klimaanlage sinnvoll	EUR	50	0%	0%	Hoch	78	"0,14"	"0,94"																	
split klimaanlage heizen	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,38"																	
beste klimaanlage zum heizen	EUR	500	0%	0%	Hoch	100	"0,28"	"1,08"																	
monoblock klimagerät heizen	EUR	50	0%	0%	Hoch	100	"0,26"	"1,04"																	
klimaanlage zum heizen kosten	EUR	50	-90%	0%	Hoch	100	"0,32"	"1,43"																	
split klimaanlage als heizung	EUR	500	0%	900%	Hoch	100	"0,25"	"1,60"																	
splitgerät wärmepumpe	EUR	5000	-90%	0%	Hoch	100	"0,57"	"2,45"																	
klimaanlage und heizung	EUR	500	0%	0%	Hoch	100	"0,41"	"2,27"																	
klimaanlage kühlen und heizen	EUR	500	900%	900%	Hoch	100	"0,31"	"1,48"																	
klimaanlage heizen a+++	EUR	50	0%	0%	Hoch	100	"0,31"	"1,34"																	
mit klimaanlage heizen kosten	EUR	500	0%	0%	Hoch	94	"0,16"	"1,48"																	
keller lüftungsanlage	EUR	500	0%	0%	Hoch	100	"0,43"	"1,24"																	
bafa klimaanlage	EUR	50	0%	0%	Hoch	90	"0,25"	"2,80"																	
mobile klimaanlage heizen	EUR	500	0%	0%	Hoch	100	"0,11"	"0,49"																	
heizen mit split klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,38"																	
luft luft wärmepumpe klimaanlage	EUR	500	0%	0%	Hoch	100	"0,53"	"1,97"																	
kühlen und heizen mit einem gerät	EUR	500	900%	0%	Hoch	100	"0,30"	"1,24"																	
klimasplitgeräte heizen	EUR	50	0%	0%	Hoch	100	"0,29"	"2,45"																	
förderung klimaanlage wärmepumpe	EUR	50	0%	0%	Hoch	70	"0,20"	"1,88"																	
klimaanlage ohne außengerät zum heizen	EUR	500	900%	0%	Hoch	100	"0,28"	"1,04"																	
klimaanlage photovoltaik set	EUR	500	900%	0%	Hoch	100	"0,94"	"2,64"																	
mobiles klimagerät mit heizfunktion	EUR	500	0%	900%	Hoch	100	"0,14"	"0,50"																	
klima wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,83"	"3,25"																	
förderung für klimaanlagen	EUR	500	0%	0%	Mittel	66	"0,23"	"1,52"																	
klivago wärmepumpen	EUR	50	0%	0%	Unbekannt																				
split klimaanlage förderung	EUR	500	0%	0%	Mittel	62	"0,25"	"1,41"																	
klimasplitgeräte förderung	EUR	50	0%	0%	Hoch	76	"0,33"	"1,99"																	
heizung und klimaanlage in einem gerät	EUR	50	0%	900%	Hoch	100	"0,33"	"1,71"																	
split klimaanlage wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,54"	"2,18"																	
heizen mit klimaanlage stromkosten	EUR	50	0%	0%	Mittel	42	"0,11"	"1,02"																	
förderung klimaanlage privatkunden 2022	EUR	50	0%	0%	Unbekannt																				
förderung split klimaanlage	EUR	500	900%	0%	Mittel	58	"0,27"	"1,22"																	
wärmepumpe zum kühlen	EUR	5000	0%	0%	Mittel	65	"0,15"	"1,40"																	
inverter klimaanlage heizen	EUR	50	0%	0%	Hoch	100																			
klimaanlage bafa förderung	EUR	50	0%	0%	Hoch	74	"0,36"	"2,29"																	
stromverbrauch klimaanlage heizen	EUR	50	0%	0%	Hoch	80	"0,08"	"0,70"																	
heizen mit klimaanlage wirtschaftlich	EUR	50	0%	0%	Hoch	87	"0,20"	"1,15"																	
mit klimaanlage heizen sinnvoll	EUR	50	0%	0%	Hoch	91	"0,04"	"0,72"																	
heiz klimagerät	EUR	500	900%	900%	Hoch	100	"0,37"	"1,65"																	
heizen mit der klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
wärmepumpe und klimaanlage	EUR	500	0%	0%	Hoch	100	"0,80"	"3,67"																	
klimaanlage direkt mit photovoltaik betreiben	EUR	50	900%	0%	Hoch	99	"0,54"	"2,38"																	
förderung klimaanlage privat	EUR	500	0%	0%	Mittel	60	"0,25"	"1,39"																	
heiz und klimagerät	EUR	500	900%	900%	Hoch	100	"0,31"	"1,57"																	
klimaanlage zum heizen nutzen	EUR	50	0%	0%	Hoch	74	"0,09"	"0,75"																	
klimaanlage wohnung heizen	EUR	50	0%	0%	Hoch	100	"0,26"	"1,48"																	
klimagerät zum heizen und kühlen	EUR	500	0%	0%	Hoch	100	"0,30"	"1,27"																	
split klimaanlage mit wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,54"	"2,18"																	
klimaanlage haus heizen	EUR	50	0%	0%	Hoch	100	"0,28"	"2,41"																	
bafa förderung klimaanlage 2023	EUR	50	0%	-100%	Unbekannt																				
heizen mit klimagerät	EUR	500	0%	0%	Hoch	100	"0,33"	"1,41"																	
panasonic klimaanlage heizen	EUR	500	0%	0%	Hoch	100	"0,23"	"0,99"																	
klimaanlage heizen stromverbrauch	EUR	50	0%	0%	Hoch	80	"0,08"	"0,70"																	
wohnung kühlen im sommer	EUR	500	900%	0%	Hoch	100	"0,14"	"0,85"																	
split klimaanlage als wärmepumpe	EUR	50	0%	0%	Hoch	100	"0,18"	"1,20"																	
split klimaanlage heizen und kühlen	EUR	50	0%	0%	Hoch	100	"0,29"	"1,29"																	
klima heizung	EUR	500	0%	0%	Hoch	100	"0,80"	"2,83"																	
klimaanlage als heizung nutzen	EUR	50	0%	0%	Hoch	71	"0,18"	"0,82"																	
heizen und kühlen	EUR	500	0%	0%	Hoch	100	"0,43"	"1,99"																	
heizen mit inverter klimaanlage erfahrungen	EUR	50	-100%	-100%	Unbekannt																				
zuschuss klimaanlage	EUR	50	0%	-90%	Hoch	69	"0,21"	"1,01"																	
mobiles klimagerät heizen und kühlen	EUR	50	0%	0%	Hoch	100	"0,16"	"0,76"																	
split klimaanlage stromverbrauch heizen	EUR	500	0%	0%	Hoch	97	"0,14"	"0,98"																	
klimagerät als heizung	EUR	500	0%	0%	Hoch	100	"0,33"	"1,41"																	
klimaanlage wärmepumpe förderung	EUR	50	0%	0%	Hoch	85	"0,48"	"1,95"																	
mit klimagerät heizen	EUR	50	0%	0%	Hoch	96	"0,18"	"1,16"																	
bafa förderung split klimaanlage	EUR	50	0%	0%	Mittel	51	"0,47"	"1,22"																	
klima mit heizfunktion	EUR	50	0%	0%	Hoch	100	"0,36"	"1,69"																	
split klimagerät heizen	EUR	50	0%	0%	Hoch	100	"0,21"	"1,11"																	
klimaanlagen förderung 2023	EUR	50	∞	0%	Niedrig	0																			
klimaanlage heizen und kühlen wärmepumpe	EUR	50	0%	0%	Hoch	99	"0,95"	"3,27"																	
förderung klimaanlage privathaushalt bafa	EUR	50	0%	0%	Mittel	54	"0,12"	"0,53"																	
kfw förderung klimaanlage privathaushalt	EUR	50	0%	0%	Mittel	54	"0,21"	"1,23"																	
kfw förderung klimaanlage	EUR	500	0%	0%	Mittel	61	"0,19"	"1,48"																	
split klima heizen	EUR	500	0%	0%	Hoch	100	"0,35"	"1,68"																	
wärmepumpe klimaanlage split	EUR	500	0%	0%	Hoch	100	"0,54"	"2,18"																	
klimaanlage zum kühlen und heizen	EUR	500	900%	900%	Hoch	100	"0,31"	"1,48"																	
förderfähige klimaanlagen	EUR	500	900%	0%	Hoch	100	"0,55"	"2,28"																	
förderung klimaanlage privathaushalt	EUR	50	0%	0%	Hoch	76	"0,30"	"1,36"																	
splitgerät heizen kühlen	EUR	50	0%	0%	Hoch	100	"0,32"	"1,47"																	
heizung klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
klimaanlage zum heizen kaufen	EUR	50	0%	0%	Hoch	100	"0,30"	"1,90"																	
splitgeräte zum heizen	EUR	50	0%	0%	Hoch	100	"0,32"	"1,21"																	
heizen mit klima splitgerät	EUR	500	0%	0%	Hoch	100	"0,28"	"1,21"																	
dachwohnung kühlen	EUR	500	900%	900%	Hoch	100	"0,12"	"0,85"																	
klimaanlage mitsubishi heizen	EUR	50	0%	0%	Hoch	100	"0,34"	"1,21"																	
klimagerät kühlen und heizen	EUR	500	0%	0%	Hoch	100	"0,30"	"1,27"																	
klimaanlage zum heizen förderung	EUR	50	0%	900%	Hoch	100	"0,36"	"1,62"																	
heizen mit klimaanlage oder infrarot	EUR	50	-100%	-100%	Unbekannt																				
heizung und klimaanlage	EUR	500	0%	0%	Hoch	100	"0,41"	"2,27"																	
mobile klimaanlage mit heizung	EUR	500	0%	0%	Hoch	100	"0,11"	"0,49"																	
klimagerät wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,49"	"1,92"																	
klimaanlage als wärmepumpe nutzen	EUR	50	0%	0%	Hoch	88	"0,31"	"0,98"																	
wärmepumpe klimaanlage vaillant	EUR	50	0%	0%	Hoch	100																			
samsung klimaanlage heizen	EUR	50	0%	0%	Hoch	100																			
klimagerät mit wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,49"	"1,92"																	
klima mit heizung	EUR	50	0%	0%	Hoch	100	"0,33"	"1,51"																	
toshiba klimaanlage heizen	EUR	50	0%	0%	Hoch	92	"0,65"	"1,27"																	
förderung von klimaanlagen	EUR	50	0%	0%	Hoch	69	"0,22"	"1,29"																	
wirkungsgrad klimaanlage heizen	EUR	50	0%	0%	Mittel	56	"0,03"	"0,54"																	
klimaanlage auch zum heizen	EUR	50	0%	0%	Hoch	100	"0,23"	"1,68"																	
wärmepumpe klimaanlage förderung	EUR	50	0%	0%	Hoch	80	"0,59"	"3,11"																	
mobile klimaanlage heizen und kühlen	EUR	50	0%	0%	Hoch	100	"0,16"	"0,72"																	
mit der klimaanlage heizen	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
remko klimagerät heizen	EUR	50	0%	0%	Hoch	100																			
gree klimaanlage heizen	EUR	50	-90%	0%	Hoch	100	"0,50"	"1,11"																	
klimaanlage förderung 2022	EUR	50	∞	0%	Niedrig	0																			
klimaanlage luft luft wärmepumpe	EUR	50	900%	900%	Hoch	100	"0,59"	"1,87"																	
klimaanlage zuschuss	EUR	50	0%	0%	Hoch	71	"0,26"	"1,48"																	
mit mobiler klimaanlage heizen	EUR	50	0%	0%	Hoch	98																			
mobile klimaanlage zum heizen	EUR	500	0%	0%	Hoch	100	"0,11"	"0,49"																	
mobiles klimagerät heizen	EUR	50	0%	0%	Hoch	100	"0,15"	"0,62"																	
bafa förderung klimaanlage daikin	EUR	50	0%	0%	Niedrig	21																			
monoblock klimaanlage heizen	EUR	50	0%	0%	Hoch	100	"0,24"	"0,68"																	
aermec klimaanlage heizen	EUR	50	0%	0%	Hoch	88	"0,50"	"1,17"																	
photovoltaik klimaanlage	EUR	500	900%	0%	Hoch	100	"1,14"	"3,70"																	
bafa förderung klimaanlage privat	EUR	50	0%	0%	Mittel	44	"0,34"	"1,18"																	
klimaanlage mit wärmepumpe mitsubishi	EUR	50	0%	0%	Hoch	100																			
heizen mit klimaanlage erfahrungen	EUR	50	0%	0%	Hoch	77	"0,04"	"1,17"																	
klimaanlage oder wärmepumpe	EUR	500	0%	0%	Hoch	89	"0,42"	"2,10"																	
klimaanlage die auch heizen kann	EUR	50	0%	0%	Hoch	100	"0,32"	"1,45"																	
klimagerät mit heizung	EUR	500	0%	0%	Hoch	100	"0,33"	"1,41"																	
trotec klimagerät heizen	EUR	50	0%	0%	Hoch	100	"0,06"	"1,21"																	
daikin klimaanlage förderung	EUR	50	0%	0%	Mittel	35	"0,37"	"1,54"																	
klimaanlage wärmepumpe vaillant	EUR	50	∞	∞	Hoch	100																			
inverter klimaanlage zum heizen	EUR	50	0%	0%	Hoch	100	"0,33"	"1,27"																	
klima splitgerät zum heizen	EUR	500	0%	0%	Hoch	100	"0,28"	"1,21"																	
klimagerät als wärmepumpe	EUR	50	0%	0%	Hoch	100	"0,28"	"1,97"																	
daikin split klimaanlage heizen	EUR	50	0%	0%	Hoch	100																			
mitsubishi klimaanlage heizen a+++	EUR	50	0%	0%	Hoch	100																			
luftwärmepumpe klimaanlage	EUR	50	0%	0%	Hoch	100	"0,76"	"3,11"																	
lüftungsanlage zum heizen und kühlen	EUR	50	0%	0%	Hoch	100	"0,69"	"1,37"																	
klimaanlage heizen wirkungsgrad	EUR	50	0%	0%	Mittel	36																			
multisplit klimaanlage heizen	EUR	50	0%	0%	Hoch	100	"0,27"	"1,35"																	
klimaanlage mit kältemittel	EUR	50	900%	900%	Hoch	100	"0,14"	"1,21"																	
wohnung runterkühlen	EUR	500	900%	900%	Hoch	99	"0,11"	"0,70"																	
splitgerät heizen	EUR	500	-90%	-90%	Hoch	100	"0,41"	"1,95"																	
klimaanlage wärmepumpe kosten	EUR	50	0%	0%	Hoch	89	"0,80"	"3,09"																	
klimaanlage förderung privat	EUR	500	900%	0%	Mittel	52	"0,22"	"1,44"																	
wärmepumpen klimagerät	EUR	500	0%	0%	Hoch	100	"0,49"	"1,92"																	
klimaanlage bafa	EUR	50	0%	0%	Hoch	94	"0,51"	"2,27"																	
klimagerät kühlen heizen	EUR	50	0%	0%	Hoch	100	"0,23"	"1,05"																	
klimaanlage split heizen	EUR	50	0%	0%	Hoch	100	"0,22"	"1,61"																	
klimaanlage vs wärmepumpe	EUR	500	-90%	0%	Mittel	65	"0,26"	"1,89"																	
klimaanlage mit solarstrom	EUR	50	0%	0%	Hoch	100	"0,93"	"1,89"																	
förderung klima splitgerät	EUR	50	900%	900%	Hoch	68	"0,26"	"1,15"																	
klima und heizung	EUR	50	0%	0%	Hoch	100	"0,57"	"3,15"																	
klima splitgerät förderung	EUR	50	0%	0%	Mittel	66	"0,29"	"1,57"																	
truma dachklima	EUR	50	0%	-90%	Hoch	100	"0,48"	"1,01"																	
split klimaanlage heizen erfahrungen	EUR	50	0%	0%	Hoch	87	"0,09"	"1,25"																	
wärmepumpe klimaanlage heizen	EUR	50	0%	0%	Hoch	100																			
bafa klimaanlage privat	EUR	50	0%	-100%	Unbekannt																				
klima splitgerät wärmepumpe	EUR	50	0%	0%	Hoch	100	"0,72"	"1,94"																	
kühlen und heizen	EUR	500	0%	0%	Hoch	100	"0,43"	"1,99"																	
klimaanlage splitgerät heizen	EUR	50	0%	0%	Hoch	100																			
bafa förderung klimaanlage privat mitsubishi	EUR	50	0%	0%	Hoch	68	"0,50"	"1,63"																	
split anlage heizen	EUR	50	0%	0%	Hoch	100	"0,36"	"1,72"																	
kfw förderung klimaanlage privat	EUR	500	0%	-90%	Mittel	65	"0,15"	"1,31"																	
heizen mit split klimaanlagen	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,38"																	
förderung klimaanlage daikin	EUR	50	0%	0%	Niedrig	7																			
split klimaanlage heizen stromverbrauch	EUR	50	0%	0%	Mittel	59	"0,16"	"1,09"																	
klima splitgerät heizen und kühlen	EUR	50	0%	0%	Hoch	100	"0,40"	"1,82"																	
klimaanlage als wärmepumpe förderung	EUR	50	0%	0%	Hoch	96	"0,29"	"1,89"																	
klimaanlage a+++ heizen	EUR	50	0%	0%	Hoch	100	"0,24"	"1,00"																	
mobile klimaanlage kühlen und heizen	EUR	50	0%	0%	Hoch	100	"0,20"	"0,71"																	
kältemittel für klimaanlagen	EUR	5000	900%	0%	Hoch	100	"0,16"	"0,97"																	
klimaanlage als heizung verwenden	EUR	50	0%	0%	Niedrig	29																			
solaranlage für klimaanlage	EUR	50	0%	-90%	Hoch	100	"0,96"	"3,12"																	
klimagerät zum kühlen und heizen	EUR	500	0%	0%	Hoch	100	"0,30"	"1,27"																	
klimaanlage mit wärmepumpe test	EUR	50	∞	0%	Hoch	100																			
klimaanlage und wärmepumpe	EUR	500	0%	0%	Hoch	100	"0,80"	"3,67"																	
mobiles klimagerät zum heizen	EUR	50	0%	0%	Hoch	100	"0,14"	"0,49"																	
klimaanlage mit heizung kaufen	EUR	50	0%	0%	Hoch	100	"0,48"	"1,88"																	
wärmepumpe vs klimaanlage	EUR	500	0%	900%	Mittel	52	"0,33"	"2,08"																	
split klimaanlage zum heizen kaufen	EUR	50	0%	0%	Hoch	100	"0,31"	"1,54"																	
mobile split klimaanlage heizen	EUR	50	0%	0%	Hoch	100	"0,20"	"0,86"																	
klimaanlage monoblock heizen	EUR	50	0%	0%	Hoch	100	"0,27"	"0,56"																	
heizen und kühlen mit klimaanlage	EUR	50	0%	0%	Hoch	100	"0,28"	"1,50"																	
stromverbrauch split klimaanlage heizen	EUR	50	0%	0%	Hoch	86	"0,03"	"0,49"																	
klimaanlage photovoltaik	EUR	500	900%	0%	Hoch	100	"1,14"	"3,70"																	
klimagerät heizen kühlen	EUR	50	0%	0%	Hoch	100	"0,27"	"1,02"																	
luft luft wärmepumpe multisplit	EUR	50	0%	-90%	Hoch	100	"0,75"	"3,10"																	
klimaanlagen heizen und kühlen	EUR	50	0%	0%	Hoch	100	"0,34"	"1,33"																	
förderung klimaanlage privatkunden	EUR	50	0%	-100%	Unbekannt																				
daikin klimaanlage split förderung	EUR	50	0%	0%	Mittel	48																			
haus mit klimaanlage heizen	EUR	50	0%	0%	Hoch	95	"0,22"	"1,50"																	
midea klimaanlage heizen	EUR	50	0%	0%	Hoch	100	"0,33"	"0,96"																	
klimaanlage staatliche förderung	EUR	50	0%	0%	Mittel	58	"0,28"	"1,47"																	
klimaanlage als heizung förderung	EUR	50	0%	0%	Hoch	74	"0,43"	"2,99"																	
heizen über klimaanlage	EUR	50	0%	0%	Hoch	80	"0,23"	"1,43"																	
wärmepumpe auch als klimaanlage	EUR	50	0%	0%	Mittel	62	"0,42"	"1,68"																	
unterschied wärmepumpe klimaanlage	EUR	500	-90%	-90%	Mittel	42	"0,21"	"1,16"																	
staatliche förderung klimaanlage	EUR	50	0%	0%	Mittel	55	"0,25"	"1,75"																	
klimaanlage mit lüftung	EUR	500	900%	0%	Hoch	100	"0,53"	"1,40"																	
split klimaanlage heizen a+++	EUR	50	0%	0%	Hoch	100																			
mit split klimaanlage heizen	EUR	50	0%	0%	Hoch	100	"0,14"	"0,57"																	
heizen mit klimaanlage mitsubishi	EUR	500	0%	0%	Hoch	100	"0,30"	"0,97"																	
verbrauch klimaanlage heizen	EUR	50	0%	0%	Mittel	66	"0,08"	"0,52"																	
suntec klimagerät heizen	EUR	50	0%	0%	Hoch	71																			
klimaanlage mit förderung	EUR	50	0%	0%	Hoch	100	"0,92"	"4,35"																	
heizen mit split klimaanlage kosten	EUR	50	0%	0%	Hoch	69	"0,22"	"2,54"																	
klimaanlage mit wärmepumpe förderung	EUR	50	0%	0%	Hoch	80	"0,80"	"5,09"																	
luftwärmepumpe kühlen	EUR	500	0%	-90%	Mittel	59	"0,19"	"1,28"																	
klimaanlage mit heizung förderung	EUR	50	0%	0%	Hoch	85	"0,96"	"4,08"																	
klimaanlage heizen kühlen	EUR	50	0%	0%	Hoch	100	"0,31"	"1,28"																	
klimaanlage luftwärmepumpe	EUR	50	0%	0%	Hoch	100	"0,72"	"2,22"																	
photovoltaik klimaanlage heizen	EUR	50	∞	0%	Hoch	86																			
klimaanlage mit wärmepumpentechnik	EUR	50	0%	0%	Hoch	100	"0,44"	"1,95"																	
split klimaanlage vs wärmepumpe	EUR	50	0%	0%	Hoch	86	"0,25"	"1,47"																	
kermi wohnraumlüftung	EUR	50	0%	0%	Hoch	100	"0,76"	"1,31"																	
mit klima heizen	EUR	50	0%	0%	Hoch	92	"0,25"	"1,83"																	
klimaanlage statt heizung	EUR	50	0%	0%	Hoch	97	"0,27"	"1,72"																	
mobile klimaanlage heizen ohne schlauch	EUR	50	0%	0%	Hoch	100	"0,18"	"0,81"																	
klimaanlage ohne außengerät heizen	EUR	50	0%	0%	Hoch	100	"0,26"	"0,89"																	
klimaanlage pv überschuss	EUR	50	900%	0%	Hoch	100	"0,38"	"2,49"																	
klimaanlage stromverbrauch heizen	EUR	50	0%	0%	Niedrig	0																			
förderung wärmepumpe klimaanlage	EUR	50	0%	0%	Mittel	65	"0,38"	"2,58"																	
photovoltaik und klimaanlage	EUR	50	0%	0%	Hoch	86	"2,03"	"8,25"																	
klima heizen kühlen	EUR	50	0%	0%	Hoch	95																			
klimaanlage mobil heizen	EUR	50	0%	0%	Hoch	100	"0,17"	"0,73"																	
luftwärmepumpe mit klimaanlage	EUR	50	0%	0%	Hoch	90	"0,65"	"2,26"																	
split klimaanlagen zum heizen	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,38"																	
beg förderung klimaanlage	EUR	50	0%	-90%	Mittel	54	"0,24"	"1,07"																	
wärmepumpe als klimaanlage nutzen	EUR	50	900%	900%	Mittel	66	"0,25"	"1,41"																	
zuschuss für klimaanlage	EUR	50	0%	0%	Hoch	75	"0,26"	"1,26"																	
bafa klimaanlage privatperson	EUR	50	0%	0%	Niedrig	0																			
klimasplitanlage heizen	EUR	50	0%	0%	Hoch	100	"0,31"	"1,51"																	
heizen mit klimaanlage oder gas	EUR	50	0%	0%	Hoch	100	"0,06"	"1,04"																	
scop klimaanlage heizen	EUR	50	0%	0%	Hoch	92	"0,30"	"1,65"																	
split klimaanlage kühlen und heizen	EUR	50	0%	0%	Hoch	100	"0,25"	"1,10"																	
daikin klimaanlage wärmepumpe	EUR	50	0%	0%	Hoch	94	"0,53"	"2,30"																	
kühlen und heizen mit einem gerät mobil	EUR	50	900%	0%	Hoch	100	"0,18"	"0,73"																	
daikin klimaanlage heizen erfahrungen	EUR	50	0%	0%	Mittel	40																			
mobiles klimagerät mit heizung	EUR	50	0%	0%	Hoch	100	"0,15"	"0,62"																	
förderung klimasplitgeräte	EUR	50	0%	0%	Hoch	71	"0,25"	"1,22"																	
heizen mit einer klimaanlage	EUR	50	0%	0%	Hoch	100	"0,33"	"0,89"																	
wärmepumpe oder klimaanlage zum heizen	EUR	50	-90%	0%	Hoch	76	"0,34"	"1,80"																	
klimaanlage zum heizen verwenden	EUR	50	0%	0%	Hoch	79	"0,24"	"0,87"																	
unterschied klimaanlage wärmepumpe	EUR	50	0%	0%	Hoch	68	"0,17"	"1,43"																	
klimaanlage kfw förderung	EUR	500	900%	0%	Mittel	58	"0,20"	"2,35"																	
klimageräte förderung	EUR	50	0%	0%	Mittel	64	"0,28"	"1,43"																	
klimaanlage haus förderung	EUR	50	0%	0%	Mittel	63	"0,34"	"1,82"																	
samsung split wärmepumpe	EUR	50	-90%	0%	Hoch	100	"0,75"	"2,49"																	
klimaanlagen als heizung	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
mobile klimaanlage mit wärmepumpe	EUR	50	0%	0%	Hoch	100	"0,10"	"0,73"																	
bafa förderung für klimaanlagen	EUR	50	0%	0%	Mittel	50	"0,26"	"1,50"																	
bafa klimaanlage förderung	EUR	50	900%	900%	Mittel	34	"0,30"	"1,68"																	
easy klima kältemittel	EUR	50	0%	0%	Hoch	100																			
mobiles klimagerät kühlen und heizen	EUR	50	0%	0%	Hoch	100	"0,15"	"0,74"																	
split klima wärmepumpe	EUR	50	0%	0%	Hoch	100	"0,54"	"2,50"																	
multi split wärmepumpe	EUR	50	0%	0%	Hoch	99	"1,03"	"5,03"																	
heizen mit klimageräten	EUR	500	0%	0%	Hoch	100	"0,33"	"1,41"																	
